Profession in UK,Profession in my project,Male (count),Female (count),Women
Artists,artist,"15,185","35,224",69.87641096
Chief executives and Snr officials,CEO,"81,851","34,097",29.40714803
Chefs,chef,"158,219","56,391",26.2760356
Medical practitioners,doctor,"171,887","168,237",49.46343098
Hairdressers and barbers,hairdresser,"21,147","95,252",81.83231815
Solicitors,lawyer,"73,854","88,655",54.55390163
Nurses,nurse,"99,192","593,617",85.68263403
Police officers (sergeant and below),police officer,"134,553","54,198",28.71402006
Programmers and software development professionals,software engineer,"452,795","87,111",16.13447526
Secondary education teaching professionals,teacher,"171,709","268,984",61.03659464